drug,prot,score
ZINC000033994719,Q4QHJ8,10007.28
ZINC000096077887,Q4QHJ8,10007.28
ZINC000002383210,P48499,10007.9
ZINC000006093393,P48499,10007.9
ZINC000000895536,Q4QBL1,10008.25
ZINC000001529628,Q4QBL1,100084.47
ZINC000095618711,Q27686,10009.55
ZINC000095618710,Q27686,10009.55
ZINC000003779726,Q4QBL1,1001.08
ZINC000005760531,O15826,1001.2
ZINC000005760468,O15826,1001.2
ZINC000005760466,O15826,1001.2
ZINC000002570883,O15826,1001.2
ZINC000034141652,O15826,1001.31
ZINC000022065576,O15826,1001.31
ZINC000003784427,O97193,1001.53
ZINC000001280665,Q27686,1001.66
ZINC000030691552,Q27686,1001.95
ZINC000030691548,Q27686,1001.95
ZINC000030691561,Q27686,1001.95
ZINC000030691556,Q27686,1001.95
ZINC000118915218,Q6TUJ5,10010.21
ZINC000118915220,Q6TUJ5,10010.21
ZINC000118915219,Q6TUJ5,10010.21
ZINC000118915221,Q6TUJ5,10010.21
ZINC000261494617,Q6TUJ5,10010.21
ZINC000261494619,Q6TUJ5,10010.21
ZINC000261494618,Q6TUJ5,10010.21
ZINC000261494616,Q6TUJ5,10010.21
ZINC000001550477,Q6TUJ5,10010.32
ZINC000001530652,Q4QBL1,10010.58
ZINC000001530654,Q4QBL1,10010.58
ZINC000043206271,Q4QBL1,10012.01
ZINC000003874498,P48499,10012.35
ZINC000049799668,P48499,10012.96
ZINC000001698105,P48499,10013.53
ZINC000100006429,Q6TUJ5,10013.9
ZINC000000895212,Q4QHJ8,10014.97
ZINC000068202099,Q27686,10015.57
ZINC000001546066,Q27686,10016.68
ZINC000004217203,P48499,10017.15
ZINC000003812923,Q4QHJ8,10017.4
ZINC000018284778,O15826,10017.6
ZINC000068202099,Q4QBL1,10017.99
ZINC000003812994,Q4QHJ8,10018.43
ZINC000095618675,Q27686,10018.78
ZINC000006117174,Q4QHJ8,10018.98
ZINC000000895390,Q6TUJ5,1001814.37
ZINC000006093393,Q4QHJ8,10019.46
ZINC000002383210,Q4QHJ8,10019.46
ZINC000016052277,Q6TUJ5,1002.11
ZINC000031425358,P48499,1002.2
ZINC000031425359,P48499,1002.2
ZINC000031425360,P48499,1002.2
ZINC000031425361,P48499,1002.2
ZINC000008674155,O97193,1002.34
ZINC000002516268,O97193,1002.34
ZINC000000967566,Q27686,1002.77
ZINC000001530951,O97193,1002.88
ZINC000001530950,O97193,1002.88
ZINC000001596184,O97193,1002.96
ZINC000001542924,Q4QBL1,10020.15
ZINC000001999544,Q4QBL1,10020.15
ZINC000052509366,Q6TUJ5,10020.3
ZINC000095617641,Q4QBL1,10020.52
ZINC000003816292,P48499,10021.53
ZINC000003813069,Q4QHJ8,10023.12
ZINC000002001884,Q4QHJ8,10023.12
ZINC000003781951,Q6TUJ5,10025.86
ZINC000001487602,P48499,100257.03
ZINC000002016052,P48499,100257.03
ZINC000006745272,Q6TUJ5,10026.42
ZINC000685933136,P48499,10027.16
ZINC000095618717,Q4QHJ8,10027.83
ZINC000095618716,Q4QHJ8,10027.83
ZINC000000001003,Q27686,10027.94
ZINC000003875334,O97193,1003.0
ZINC000000389747,Q6TUJ5,1003.49
ZINC000003869640,O97193,1003.54
ZINC000002509772,O97193,1003.54
ZINC000001530613,Q4QBL1,10030.03
ZINC000006745272,Q4QHJ8,10030.65
ZINC000013831791,Q6TUJ5,10030.8
ZINC000095618751,P48499,10030.93
ZINC000000538275,P48499,10031.13
ZINC000034092806,Q6TUJ5,100325.8
ZINC000001493878,Q4QBL1,10033.41
ZINC000002568290,Q4QBL1,10033.47
ZINC000005133120,Q27686,10033.68
ZINC000150340720,P48499,10034.01
ZINC000150340729,P48499,10034.01
ZINC000008214414,P48499,10034.01
ZINC000019632614,Q4QBL1,10034.04
ZINC000001482094,P48499,100342.27
ZINC000001481910,P48499,100342.27
ZINC000001999544,Q27686,10036.71
ZINC000001542924,Q27686,10036.71
ZINC000003872049,Q6TUJ5,1003618.81
ZINC000003976838,Q4QBL1,10037.43
ZINC000001849666,Q4QHJ8,100379.46
ZINC000000008492,Q4QHJ8,100391.86
ZINC000150338912,Q4QHJ8,1004.19
ZINC000261494649,Q4QHJ8,1004.19
ZINC000261494648,Q4QHJ8,1004.19
ZINC000150338908,Q4QHJ8,1004.19
ZINC000261494611,Q27686,1004.6
ZINC000261494610,Q27686,1004.6
ZINC000100054977,Q27686,1004.6
ZINC000100054975,Q27686,1004.6
ZINC000095618715,Q27686,10041.13
ZINC000095618714,Q27686,10041.13
ZINC000019340795,Q27686,100418.32
ZINC000005113685,P48499,100418.54
ZINC000008582008,Q27686,10043.32
ZINC000006716957,Q6TUJ5,10044.56
ZINC000150338703,Q4QHJ8,10044.72
ZINC000001641925,Q6TUJ5,10044.9
ZINC000004534090,P48499,10045.04
ZINC000002504638,P48499,10045.04
ZINC000000391812,Q4QHJ8,10047.33
ZINC000000001798,Q4QHJ8,10047.33
ZINC000000403079,P48499,1004737.9
ZINC000000000507,P48499,1004737.9
ZINC000004097459,Q4QBL1,1005.71
ZINC000004097458,Q4QBL1,1005.71
ZINC000095617641,Q4QHJ8,10050.26
ZINC000002020083,Q6TUJ5,10050.38
ZINC000006716957,Q27686,10051.73
ZINC000000025958,Q27686,10051.81
ZINC000002001365,Q4QBL1,10052.75
ZINC000002001364,Q4QBL1,10052.75
ZINC000035024346,O97193,10053.06
ZINC000095618675,Q4QBL1,10053.53
ZINC000003817152,Q6TUJ5,10053.67
ZINC000003976838,Q4QHJ8,10053.9
ZINC000001550477,P48499,10054.42
ZINC000000014257,Q4QHJ8,10054.52
ZINC000000896703,Q4QHJ8,10054.52
ZINC000043207566,Q6TUJ5,10054.61
ZINC000003872687,Q4QBL1,10055.15
ZINC000000607910,Q4QBL1,10055.15
ZINC000003976838,Q6TUJ5,10056.83
ZINC000000597588,Q6TUJ5,10058.92
ZINC000001842686,Q6TUJ5,10058.92
ZINC000095618676,Q4QBL1,10059.87
ZINC000100032379,Q4QBL1,10059.89
ZINC000230122748,Q4QHJ8,1006.48
ZINC000229984031,Q4QHJ8,1006.48
ZINC000101210596,Q27686,1006.57
ZINC000101210593,Q27686,1006.57
ZINC000008582008,Q4QHJ8,10061.33
ZINC000014961096,Q6TUJ5,10062.37
ZINC000003785268,P48499,10064.89
ZINC000003799072,P48499,10064.89
ZINC000008582008,Q4QBL1,10065.55
ZINC000002020233,Q4QHJ8,10065.86
ZINC000005133378,Q4QBL1,100667.03
ZINC000037475297,Q27686,100669.52
ZINC000053151228,Q6TUJ5,10067.14
ZINC000053231207,Q6TUJ5,10067.14
ZINC000021981361,Q4QHJ8,10067.68
ZINC000021981363,Q4QHJ8,10067.68
ZINC000022060265,Q27686,10069.38
ZINC000095618901,Q27686,10069.62
ZINC000095618902,Q27686,10069.62
ZINC000002510775,P48499,100696.21
ZINC000003643421,P48499,100696.21
ZINC000002525883,P48499,100696.21
ZINC000003643419,P48499,100696.21
ZINC000001532614,O97193,1007.0
ZINC000014768469,Q4QBL1,1007.05
ZINC000004215257,Q4QBL1,1007.05
ZINC000030731204,O97193,1007.5
ZINC000030731200,O97193,1007.5
ZINC000000538174,Q27686,1007.52
ZINC000000001982,Q4QHJ8,10070.11
ZINC000038460704,O15826,10072.14
ZINC000001546066,Q6TUJ5,10072.75
ZINC000005316843,Q4QHJ8,10074.04
ZINC000003784384,Q4QHJ8,10074.04
ZINC000022443609,Q6TUJ5,100748.08
ZINC000000968328,Q4QHJ8,10075.19
ZINC000000968330,Q4QHJ8,10075.19
ZINC000000001003,Q4QBL1,10075.73
ZINC000014658068,Q4QBL1,100757.37
ZINC000052981502,Q27686,10077.03
ZINC000100091724,Q27686,10077.3
ZINC000002566542,Q4QBL1,10077.84
ZINC000000897107,Q6TUJ5,100786.69
ZINC000011681563,Q4QBL1,1008.62
ZINC000017971067,Q4QHJ8,10080.09
ZINC000000895271,Q4QHJ8,10080.09
ZINC000001530717,Q6TUJ5,10080.95
ZINC000001530718,Q6TUJ5,10080.95
ZINC000095618717,Q27686,10081.71
ZINC000095618716,Q27686,10081.71
ZINC000003817152,Q4QBL1,10083.28
ZINC000003976838,Q27686,10083.33
ZINC000000020231,Q27686,100859.2
ZINC000043206271,Q4QHJ8,10086.11
ZINC000070466416,Q6TUJ5,10089.63
ZINC000245204948,Q6TUJ5,1009.8
ZINC000005764759,Q6TUJ5,1009.8
ZINC000245204949,Q6TUJ5,1009.8
ZINC000006745272,Q4QBL1,10090.14
ZINC000004216862,P48499,10092.58
ZINC000003875357,P48499,10092.58
ZINC000000020246,Q27686,100926.66
ZINC000003644165,O15826,10095.75
ZINC000004102187,P48499,10097.0
ZINC000095618902,Q4QBL1,10097.06
ZINC000095618901,Q4QBL1,10097.06
ZINC000095618857,Q4QHJ8,10097.19
ZINC000095618858,Q4QHJ8,10097.19
ZINC000000001798,Q27686,10099.85
ZINC000000391812,Q27686,10099.85
ZINC000001530937,Q27686,100994.06
ZINC000026979265,Q27686,100995.72
ZINC000005166438,Q27686,100995.72
ZINC000256335049,Q4QBL1,101.11
ZINC000256335053,Q4QBL1,101.11
ZINC000230122947,Q4QBL1,101.11
ZINC000100054225,Q4QBL1,101.11
ZINC000097974884,Q4QBL1,101.11
ZINC000019685790,Q4QBL1,101.2
ZINC000019685788,Q4QBL1,101.2
ZINC000004428529,O97193,101.23
ZINC000000968340,P48499,101.28
ZINC000000968338,P48499,101.28
ZINC000002014976,O97193,101.28
ZINC000095618656,Q6TUJ5,101.28
ZINC000095618655,Q6TUJ5,101.28
ZINC000000607872,O97193,101.28
ZINC000013587284,O15826,101.34
ZINC000012503162,P48499,101.34
ZINC000004097440,P48499,101.34
ZINC000003814379,Q27686,101.5
ZINC000012503210,O15826,101.52
ZINC000253636802,O15826,101.52
ZINC000005459685,O15826,101.52
ZINC000005459684,O15826,101.52
ZINC000003945984,O15826,101.52
ZINC000000119642,Q4QBL1,101.56
ZINC000000119638,Q4QBL1,101.56
ZINC000013911941,Q4QHJ8,101.59
ZINC000001846418,O97193,101.68
ZINC000000000391,O15826,101.74
ZINC000000156823,O15826,101.74
ZINC000084758479,O97193,101.75
ZINC000034045468,O97193,101.77
ZINC000003830820,Q6TUJ5,101.79
ZINC000002040211,O15826,101.81
ZINC000002040210,O15826,101.81
ZINC000005764335,O15826,101.9
ZINC000005353194,Q4QHJ8,101.92
ZINC000005352878,Q4QHJ8,101.92
ZINC000003812984,Q4QHJ8,101.93
ZINC000001280092,Q4QHJ8,101.93
ZINC000003812983,O15826,101.96
ZINC000022033882,Q4QHJ8,1010.0
ZINC000019362721,Q4QHJ8,1010.0
ZINC000019362722,Q4QHJ8,1010.0
ZINC000022033872,Q4QHJ8,1010.0
ZINC000095618709,Q4QBL1,1010.1
ZINC000261494580,Q4QBL1,1010.1
ZINC000261494578,Q4QBL1,1010.1
ZINC000261494577,Q4QBL1,1010.1
ZINC000261494579,Q4QBL1,1010.1
ZINC000100054252,Q4QBL1,1010.1
ZINC000095618708,Q4QBL1,1010.1
ZINC000100054255,Q4QBL1,1010.1
ZINC000001319780,Q6TUJ5,1010.45
ZINC000095618865,Q6TUJ5,1010.58
ZINC000095618746,Q4QBL1,1010.9
ZINC000095618745,Q4QBL1,1010.9
ZINC000006117174,Q27686,10103.42
ZINC000001550477,Q27686,10103.9
ZINC000000002264,Q4QBL1,10104.27
ZINC000001542916,Q27686,10104.29
ZINC000004172337,P48499,10104.4
ZINC000000621893,Q27686,101049.18
ZINC000011616882,P48499,10105.88
ZINC000003816287,P48499,10105.88
ZINC000038150745,Q27686,101055.23
ZINC000013759728,Q27686,101055.23
ZINC000095618902,Q4QHJ8,10106.44
ZINC000095618901,Q4QHJ8,10106.44
ZINC000000013936,P48499,10107.78
ZINC000000066104,Q4QBL1,10108.9
ZINC000085574641,P48499,101084.19
ZINC000113149554,Q4QHJ8,1011.49
ZINC000036378574,P48499,1011.71
ZINC000036378575,P48499,1011.71
ZINC000019907652,Q4QHJ8,1011.95
ZINC000001533877,P48499,1011.95
ZINC000000001579,P48499,101106.23
ZINC000068150640,O97193,10111.2
ZINC000001081286,Q4QBL1,101123.66
ZINC000000538283,Q4QHJ8,10113.95
ZINC000001996306,Q4QHJ8,10114.54
ZINC000003872178,Q4QHJ8,10114.54
ZINC000003872177,Q4QHJ8,10114.54
ZINC000002526765,Q4QHJ8,10114.54
ZINC000095618676,Q4QHJ8,10115.59
ZINC000013831791,Q27686,10116.33
ZINC000000001195,Q4QHJ8,10119.06
ZINC000100015190,Q27686,10119.9
ZINC000100015192,Q27686,10119.9
ZINC000001081066,Q4QBL1,101194.96
ZINC000082314384,Q6TUJ5,1012.43
ZINC000095618559,Q6TUJ5,1012.43
ZINC000031425076,Q6TUJ5,1012.43
ZINC000031425077,Q6TUJ5,1012.43
ZINC000005356910,O15826,1012.67
ZINC000005356858,O15826,1012.67
ZINC000224657532,Q4QBL1,1012.8
ZINC000030731214,O97193,1012.86
ZINC000000895199,Q27686,1012059.09
ZINC000002035094,P48499,10122.34
ZINC000096077883,P48499,10122.34
ZINC000013831791,Q4QHJ8,10124.08
