drug,prot,score
ZINC000005131989,Q4QHJ8,82117.53
ZINC000018279893,Q4QHJ8,82117.53
ZINC000002530725,Q4QHJ8,82117.53
ZINC000017836367,Q4QHJ8,82117.53
ZINC000012859773,Q6TUJ5,82122.4
ZINC000100051350,Q4QHJ8,82149.99
ZINC000005134248,Q4QHJ8,82149.99
ZINC000004099164,Q27686,8218.52
ZINC000263632871,Q27686,8218.52
ZINC000263632870,Q27686,8218.52
ZINC000008552159,Q27686,8218.52
ZINC000000000293,P48499,82185.36
ZINC000002038451,P48499,82185.36
ZINC000070466416,P48499,8219.42
ZINC000095617649,Q27686,8219.91
ZINC000095617650,Q27686,8219.91
ZINC000030726399,Q4QBL1,822.29
ZINC000004534090,O97193,822.56
ZINC000002504638,O97193,822.56
ZINC000100054749,Q4QBL1,822.58
ZINC000100054746,Q4QBL1,822.58
ZINC000100054755,Q4QBL1,822.58
ZINC000095618817,Q4QBL1,822.58
ZINC000022007371,P48499,822.92
ZINC000095618851,P48499,822.92
ZINC000095618852,P48499,822.92
ZINC000090647712,P48499,822.92
ZINC000000154564,O15826,8221.06
ZINC000261494646,P48499,8221.93
ZINC000095617647,P48499,8221.93
ZINC000261494645,P48499,8221.93
ZINC000001883067,Q27686,82220.29
ZINC000000057115,Q4QHJ8,82223.99
ZINC000005133378,O15826,82228.41
ZINC000000001288,P48499,82233.56
ZINC000000001460,Q4QHJ8,8224.32
ZINC000000608213,Q27686,82241.32
ZINC000033944288,P48499,82247.28
ZINC000033944289,P48499,82247.28
ZINC000000001175,Q4QBL1,82266.97
ZINC000000000833,Q4QBL1,823.92
ZINC000001999403,Q4QBL1,823.92
ZINC000000039089,Q4QHJ8,8231.12
ZINC000003805798,Q27686,8231.14
ZINC000000004166,Q4QHJ8,8231.4
ZINC000000896819,Q4QHJ8,8231.4
ZINC000043202140,Q4QBL1,8231.9
ZINC000006827595,O15826,8232.37
ZINC000029747100,P48499,82321.73
ZINC000004096488,Q27686,8233.78
ZINC000005104028,P48499,8234.74
ZINC000000113415,Q4QBL1,8234.92
ZINC000000014007,Q4QBL1,8234.92
ZINC000018203737,Q6TUJ5,82354.36
ZINC000001530938,P48499,823725.39
ZINC000019228902,Q4QBL1,82374.8
ZINC000000120286,O15826,8239.84
ZINC000003830264,Q27686,8239.86
ZINC000014969354,O97193,824.03
ZINC000000025958,O15826,824.15
ZINC000000155531,Q27686,824.81
ZINC000000000196,Q27686,824.81
ZINC000003782823,Q6TUJ5,82419.58
ZINC000001481831,Q4QHJ8,8243.37
ZINC000004102194,Q6TUJ5,82451.71
ZINC000100054305,Q27686,82453.89
ZINC000100054312,Q27686,82453.89
ZINC000100054315,Q27686,82453.89
ZINC000253613191,Q27686,82453.89
ZINC000100054307,Q27686,82453.89
ZINC000253613194,Q27686,82453.89
ZINC000253613192,Q27686,82453.89
ZINC000253613193,Q27686,82453.89
ZINC000000005898,Q4QHJ8,8246.57
ZINC000000391820,Q4QHJ8,8246.57
ZINC000006845963,Q27686,82462.58
ZINC000000002144,Q6TUJ5,82488.75
ZINC000001529732,O97193,8249.91
ZINC000150485244,Q4QBL1,825.21
ZINC000003938624,O97193,825.43
ZINC000022061315,Q4QBL1,825.62
ZINC000022061321,Q4QBL1,825.62
ZINC000022061312,Q4QBL1,825.62
ZINC000022061318,Q4QBL1,825.62
ZINC000004217732,O97193,825.82
ZINC000004654889,O97193,825.82
ZINC000004213057,Q6TUJ5,8250.69
ZINC000003827556,Q4QHJ8,8250.74
ZINC000000900628,Q4QBL1,82501.88
ZINC000072190174,Q27686,82511.48
ZINC000001530975,Q4QBL1,82525.35
ZINC000000897105,P48499,8254.76
ZINC000096077882,P48499,8254.76
ZINC000003831001,P48499,8255.02
ZINC000001851149,Q4QBL1,8255.09
ZINC000022001748,Q4QBL1,8256.03
ZINC000022001761,Q4QBL1,8256.03
ZINC000022001752,Q4QBL1,8256.03
ZINC000022001756,Q4QBL1,8256.03
ZINC000000006047,Q27686,8256.06
ZINC000001481831,Q27686,8256.41
ZINC000012494159,P48499,82567.85
ZINC000012494166,P48499,82567.85
ZINC000003860152,O97193,8257.83
ZINC000003860153,O97193,8257.83
ZINC000001538318,Q4QBL1,82590.7
ZINC000000584092,Q4QBL1,82598.86
ZINC000095862725,Q4QBL1,826.01
ZINC000085552699,Q4QBL1,826.01
ZINC000005140707,O15826,826.27
ZINC000005140706,O15826,826.27
ZINC000003938681,P48499,826.55
ZINC000000001427,Q4QBL1,82615.19
ZINC000000000471,O97193,8262.63
ZINC000000897322,O97193,8262.63
ZINC000004097309,Q27686,8262.65
ZINC000003977764,Q27686,8262.65
ZINC000003920355,Q27686,8262.65
ZINC000004097310,Q27686,8262.65
ZINC000053683345,Q4QHJ8,8264.21
ZINC000003874498,Q4QBL1,8265.7
ZINC000003813047,P48499,8266.54
ZINC000000404287,O15826,8266.91
ZINC000019418959,P48499,82674.62
ZINC000000001329,O97193,8268.81
ZINC000000020249,O97193,8268.81
ZINC000000409879,O97193,82686.15
ZINC000001847280,Q6TUJ5,82687.61
ZINC000002565787,Q4QBL1,827.23
ZINC000021981272,O15826,827.36
ZINC000021981274,O15826,827.36
ZINC000001565262,Q4QHJ8,827.51
ZINC000100054977,Q4QBL1,827.9
ZINC000100054975,Q4QBL1,827.9
ZINC000261494611,Q4QBL1,827.9
ZINC000261494610,Q4QBL1,827.9
ZINC000003927198,P48499,8270.48
ZINC000005850277,Q4QHJ8,82732.1
ZINC000169743678,Q4QBL1,82748.82
ZINC000100004242,P48499,8275.53
ZINC000038150745,Q4QHJ8,82754.0
ZINC000013759728,Q4QHJ8,82754.0
ZINC000033506024,Q4QBL1,82775.72
ZINC000031439266,Q4QBL1,8278.18
ZINC000004217475,Q4QHJ8,82788.99
ZINC000095617645,Q4QBL1,828.2
ZINC000012405253,Q4QHJ8,8280.2
ZINC000003784432,Q4QBL1,8281.15
ZINC000002382375,P48499,82839.63
ZINC000018055768,O15826,8286.46
ZINC000001530756,O97193,8286.77
ZINC000685933137,Q27686,8287.57
ZINC000169621223,Q27686,8287.57
ZINC000253947047,Q27686,8287.57
ZINC000003830387,Q4QBL1,82877.57
ZINC000030731214,Q4QHJ8,8288.4
ZINC000001846088,Q4QBL1,8288.99
ZINC000000601255,Q4QBL1,8288.99
ZINC000100006429,P48499,8289.31
ZINC000022061183,Q4QBL1,829.19
ZINC000022061180,Q4QBL1,829.19
ZINC000003977777,Q4QHJ8,829.29
ZINC000000160784,Q27686,82904.69
ZINC000005782275,Q4QBL1,82910.06
ZINC000002011566,Q4QBL1,82910.06
ZINC000001547851,Q27686,8293.73
ZINC000003830990,Q27686,8293.73
ZINC000095618925,Q27686,82937.74
ZINC000003830716,P48499,8295.92
ZINC000003784432,Q4QHJ8,8297.38
ZINC000039472045,Q6TUJ5,82972.71
ZINC000039472044,Q6TUJ5,82972.71
ZINC000001542901,Q4QHJ8,82985.38
ZINC000002032320,Q4QHJ8,82985.38
ZINC000001536779,O97193,83.05
ZINC000011681563,O15826,83.1
ZINC000006067554,Q4QBL1,83.15
ZINC000118915223,Q27686,83.2
ZINC000256296835,Q27686,83.2
ZINC000031544156,Q27686,83.2
ZINC000031475642,Q27686,83.2
ZINC000256296829,Q27686,83.2
ZINC000118915222,Q27686,83.2
ZINC000008551087,O15826,83.3
ZINC000096006041,O15826,83.3
ZINC000003920027,Q6TUJ5,83.43
ZINC000000608382,O15826,83.46
ZINC000017611186,O15826,83.48
ZINC000000391812,O15826,83.66
ZINC000000001798,O15826,83.66
ZINC000038141705,Q6TUJ5,83.73
ZINC000038141706,Q6TUJ5,83.73
ZINC000150485244,O15826,83.78
ZINC000936069565,Q6TUJ5,83.89
ZINC000031707000,O97193,83.89
ZINC000164528615,Q6TUJ5,83.89
ZINC000000021067,Q4QBL1,83.89
ZINC000000006990,Q4QBL1,83.89
ZINC000150338755,Q4QBL1,83.99
ZINC000000402954,Q4QBL1,830.12
ZINC000082105375,O15826,830.4
ZINC000082105373,O15826,830.4
ZINC000082105374,O15826,830.4
ZINC000005163012,O15826,830.4
ZINC000004213363,Q6TUJ5,830.42
ZINC000004097183,Q4QBL1,830.68
ZINC000205224698,Q4QBL1,830.75
ZINC000095671365,O15826,830.91
ZINC000095660919,O15826,830.91
ZINC000009228233,Q4QHJ8,830.98
ZINC000253497554,Q4QHJ8,830.98
ZINC000034886826,Q4QHJ8,830.98
ZINC000043710727,Q4QHJ8,830.98
ZINC000003807917,Q4QHJ8,830.98
ZINC000013543089,Q27686,8301.87
ZINC000003780929,P48499,83016.27
ZINC000009302239,Q4QBL1,8302.05
ZINC000011616526,Q4QHJ8,8303.18
ZINC000003830970,Q4QHJ8,8303.18
ZINC000003201958,Q4QHJ8,8303.18
ZINC000000000407,Q4QHJ8,8303.18
ZINC000009302317,Q4QHJ8,8303.18
ZINC000001319967,Q4QHJ8,8303.18
ZINC000002525891,P48499,83045.17
ZINC000003871889,Q4QHJ8,8305.82
ZINC000004654818,Q4QHJ8,8305.82
ZINC000003818726,Q4QBL1,83071.34
ZINC000100036955,O97193,8308.83
ZINC000038140872,O97193,8308.83
ZINC000038140873,O97193,8308.83
ZINC000043763856,O97193,8308.83
ZINC000100036957,O97193,8308.83
ZINC000100052205,O97193,8308.83
ZINC000100022637,Q27686,831.35
ZINC000021981411,O97193,831.44
ZINC000002525893,O97193,831.44
ZINC000100018867,O15826,831.5
ZINC000017611186,Q27686,831.93
ZINC000100005073,Q4QHJ8,831.96
ZINC000003872055,Q27686,8310.07
ZINC000002379161,Q4QHJ8,8310.21
ZINC000003869576,Q4QHJ8,8310.21
ZINC000030731351,Q6TUJ5,83114.77
ZINC000030731355,Q6TUJ5,83114.77
ZINC000095618875,Q27686,8312.77
ZINC000095618874,Q27686,8312.77
ZINC000013473305,Q27686,8312.83
ZINC000008101082,Q4QBL1,8313.76
ZINC000008101083,Q4QBL1,8313.76
ZINC000018178475,Q4QBL1,8313.76
ZINC000084589076,Q27686,8314.99
ZINC000100006264,Q27686,8314.99
ZINC000001532526,Q4QHJ8,8316.44
ZINC000005113686,Q4QBL1,83167.81
ZINC000003784432,Q27686,8317.41
ZINC000000001385,P48499,83170.55
ZINC000005783849,O97193,8318.76
ZINC000030726863,Q27686,83193.01
ZINC000005888085,O97193,832.12
ZINC000001611274,P48499,832.31
ZINC000005834183,O97193,832.38
ZINC000003779726,Q4QHJ8,832.73
ZINC000000020259,O97193,8320.7
ZINC000000074836,O97193,8320.7
ZINC000000119268,Q4QHJ8,83205.99
ZINC000003807172,Q6TUJ5,8323.97
ZINC000003917722,Q6TUJ5,8323.97
ZINC000003831540,Q4QHJ8,8324.21
ZINC000004097358,Q4QHJ8,8324.21
ZINC000002539702,Q6TUJ5,832739.83
ZINC000095618821,Q4QBL1,83275.26
ZINC000003831051,Q4QHJ8,8329.44
ZINC000003831050,Q4QHJ8,8329.44
ZINC000000004759,Q27686,833.17
ZINC000000531272,Q27686,833.17
ZINC000043450324,Q4QBL1,833.68
ZINC000026011099,Q4QBL1,833.68
ZINC000043450326,Q4QBL1,833.68
ZINC000001545565,O15826,833.7
ZINC000001543181,O15826,833.95
ZINC000003881613,Q4QBL1,8330.41
ZINC000000001688,Q6TUJ5,83335.17
ZINC000033902810,O15826,8336.64
ZINC000000001329,Q4QHJ8,83364.73
ZINC000000020249,Q4QHJ8,83364.73
ZINC000100008403,Q27686,8337.65
ZINC000100009383,Q27686,8337.65
ZINC000100006441,Q4QHJ8,83395.95
ZINC000000599598,Q27686,834.64
ZINC000095617665,Q27686,83428.37
ZINC000005139697,Q4QHJ8,8345.79
ZINC000100005670,O97193,8346.91
ZINC000000000693,Q4QHJ8,83462.73
ZINC000002522669,Q4QBL1,8348.48
ZINC000000135391,Q4QBL1,834836.7
ZINC000012402849,Q4QBL1,8349.05
ZINC000012402850,Q4QBL1,8349.05
ZINC000003833876,Q4QBL1,8349.05
ZINC000003984042,Q4QBL1,8349.05
ZINC000008214407,Q4QHJ8,835.15
ZINC000150339413,Q4QHJ8,835.15
ZINC000150339412,Q4QHJ8,835.15
ZINC000004213057,Q4QHJ8,835.38
ZINC000022007371,Q6TUJ5,835.71
ZINC000090647712,Q6TUJ5,835.71
ZINC000095618852,Q6TUJ5,835.71
ZINC000095618851,Q6TUJ5,835.71
ZINC000003830276,O15826,835.78
ZINC000003873936,O15826,835.89
ZINC000085537068,Q4QBL1,8352.3
ZINC000002041322,Q6TUJ5,83527.54
ZINC000001640015,Q6TUJ5,83527.54
ZINC000001571009,O15826,8354.59
ZINC000000403588,O97193,8355.39
ZINC000000000733,O97193,8355.39
ZINC000100051402,Q4QHJ8,8356.52
ZINC000100051400,Q4QHJ8,8356.52
ZINC000100029264,Q27686,83567.08
ZINC000001530870,Q27686,83567.08
ZINC000101687676,Q6TUJ5,835735.01
ZINC000049852136,Q6TUJ5,835735.01
ZINC000101687674,Q6TUJ5,835735.01
ZINC000135848905,Q6TUJ5,835735.01
ZINC000002040984,Q4QBL1,8359.29
ZINC000002040986,Q4QBL1,8359.29
ZINC000002040985,Q4QBL1,8359.29
ZINC000002040987,Q4QBL1,8359.29
ZINC000005762010,Q4QBL1,83598.83
ZINC000006534965,Q4QHJ8,83601.95
ZINC000000020246,Q4QHJ8,83630.04
ZINC000000538507,Q4QBL1,83644.09
ZINC000002040950,O97193,8366.67
ZINC000004261765,Q4QHJ8,8367.0
ZINC000005350905,O97193,83671.37
ZINC000015848251,O15826,83695.82
ZINC000015848249,O15826,83695.82
ZINC000003830938,O15826,83695.82
ZINC000003830940,O15826,83695.82
ZINC000000901061,O97193,837.34
ZINC000029391220,O15826,837.43
ZINC000000527386,Q27686,837.48
ZINC000001532519,Q4QHJ8,837.71
ZINC000011677857,Q4QHJ8,837.72
ZINC000008221075,O97193,8370.51
ZINC000006920384,O97193,8370.51
ZINC000008214519,O97193,8370.51
ZINC000013233295,Q4QBL1,8371.19
ZINC000000157458,Q6TUJ5,83717.87
ZINC000000900692,O97193,8373.47
ZINC000100051395,Q6TUJ5,8376.1
ZINC000095617643,Q6TUJ5,8376.1
ZINC000095617642,Q6TUJ5,8376.1
ZINC000100051396,Q6TUJ5,8376.1
ZINC000104344008,Q6TUJ5,8376.1
ZINC000095617650,Q4QHJ8,8376.46
ZINC000095617649,Q4QHJ8,8376.46
ZINC000001530940,O97193,8377.42
ZINC000004658552,Q4QBL1,8377.79
ZINC000004175569,Q4QBL1,838.32
ZINC000004217287,Q27686,838.6
ZINC000002040609,P48499,838.84
ZINC000005352943,Q6TUJ5,83821.44
ZINC000000000748,Q6TUJ5,83821.44
ZINC000100008275,Q6TUJ5,8387.17
ZINC000000155694,Q6TUJ5,8387.17
ZINC000001482128,Q4QBL1,8387.88
ZINC000006661227,O15826,8388.62
ZINC000038212689,Q4QBL1,83891.41
ZINC000261494609,Q4QHJ8,839.17
ZINC000012496366,Q27686,839.42
ZINC000030690433,Q6TUJ5,839.53
ZINC000002583356,O15826,839.67
ZINC000005852926,O15826,839.67
ZINC000022016981,Q4QHJ8,83904.03
ZINC000022016976,Q4QHJ8,83904.03
ZINC000035635997,Q4QBL1,8393.86
ZINC000035635999,Q4QBL1,8393.86
ZINC000019203912,P48499,83958.49
ZINC000034781704,Q6TUJ5,83994.08
ZINC000100070937,O15826,84.02
ZINC000000001275,O97193,84.03
ZINC000003941496,Q4QHJ8,84.08
ZINC000005424275,O97193,84.09
ZINC000004097285,Q4QBL1,84.1
ZINC000003874467,O97193,84.12
ZINC000012502867,O15826,84.12
ZINC000009212654,Q27686,84.15
ZINC000033943508,Q27686,84.15
ZINC000036766734,Q27686,84.15
ZINC000033995986,Q27686,84.15
ZINC000012484958,Q27686,84.15
ZINC000009302201,Q27686,84.15
ZINC000003792789,Q27686,84.15
ZINC000012661824,Q27686,84.15
ZINC000096014710,Q27686,84.15
ZINC000005456939,Q27686,84.15
ZINC000012358651,Q27686,84.15
ZINC000003929508,Q6TUJ5,84.25
ZINC000017545546,O15826,84.36
ZINC000003830635,O15826,84.36
ZINC000006733300,O15826,84.37
ZINC000003816514,O97193,84.4
ZINC000000020236,O15826,84.47
ZINC000000057521,O15826,84.47
ZINC000006094127,Q4QHJ8,84.48
ZINC000000897240,Q6TUJ5,84.51
ZINC000000601229,Q6TUJ5,84.51
ZINC000000000867,Q27686,84.57
ZINC000003875469,Q4QBL1,84.71
ZINC000000001995,O15826,84.77
ZINC000030691548,O15826,84.99
ZINC000030691552,O15826,84.99
ZINC000030691556,O15826,84.99
ZINC000030691561,O15826,84.99
ZINC000005140888,Q4QHJ8,840.04
ZINC000012494987,Q4QHJ8,840.04
ZINC000000608205,O15826,840.49
ZINC000011616153,Q27686,840.6
ZINC000011616154,Q27686,840.6
ZINC000011616152,Q27686,840.6
ZINC000014879999,Q27686,840.6
ZINC000003831231,Q27686,840.6
ZINC000019132424,Q4QBL1,840.93
ZINC000000119717,O97193,8400.25
ZINC000001482113,Q4QHJ8,8400.43
ZINC000001622033,Q4QBL1,84013.45
ZINC000001622034,Q4QBL1,84013.45
ZINC000012402948,Q4QBL1,84013.45
ZINC000256007008,Q4QBL1,84013.45
ZINC000003875560,Q6TUJ5,8402.76
ZINC000011616526,Q27686,8402.83
ZINC000001319967,Q27686,8402.83
ZINC000009302317,Q27686,8402.83
ZINC000003830970,Q27686,8402.83
ZINC000000000407,Q27686,8402.83
ZINC000003201958,Q27686,8402.83
ZINC000001542890,P48499,8404.4
ZINC000137375210,P48499,8404.4
ZINC000000001299,Q27686,84047.59
ZINC000004097356,Q4QBL1,8405.42
ZINC000021981222,O97193,8407.46
ZINC000071928291,O15826,8408.26
ZINC000060183170,O15826,8408.26
ZINC000003956919,Q27686,84089.68
ZINC000004654886,Q27686,84095.77
ZINC000008214574,Q27686,841.07
ZINC000001553549,P48499,841.32
ZINC000049089868,Q4QBL1,841.46
ZINC000003814784,Q27686,8410.9
ZINC000012404515,Q27686,8410.9
ZINC000200297616,Q4QHJ8,84139.55
ZINC000000538283,Q4QBL1,8414.51
ZINC000038945666,Q4QBL1,84185.11
ZINC000026979265,Q4QHJ8,84187.7
ZINC000005166438,Q4QHJ8,84187.7
ZINC000004097185,Q4QHJ8,842.36
ZINC000053683148,Q4QHJ8,842.36
ZINC000000601288,O97193,842.56
ZINC000002008504,O97193,842.56
ZINC000003882036,P48499,842.56
ZINC000043207238,O15826,842.58
ZINC000002005673,Q4QHJ8,8421.1
ZINC000000608085,Q4QBL1,84227.36
ZINC000002015244,Q4QBL1,84227.36
ZINC000002016032,O15826,8423.54
ZINC000008383239,O15826,8423.54
ZINC000000039905,Q4QHJ8,84235.13
ZINC000013759799,P48499,8424.7
ZINC000013759798,P48499,8424.7
ZINC000000001944,Q27686,842423.42
ZINC000000039089,Q27686,8425.19
ZINC000005019445,Q4QHJ8,8425.32
ZINC000013518278,Q4QHJ8,8426.68
ZINC000008437287,Q27686,84268.8
ZINC000002017901,P48499,84275.83
ZINC000085537014,P48499,84288.42
ZINC000003831540,Q4QBL1,8429.37
ZINC000004097358,Q4QBL1,8429.37
ZINC000096298875,Q4QHJ8,843.01
ZINC000008214383,P48499,843.14
ZINC000001319177,O97193,843.36
ZINC000004164422,O97193,843.36
ZINC000003830727,O97193,843.36
ZINC000004164431,O97193,843.36
ZINC000031495147,P48499,843.81
ZINC000095618754,P48499,843.81
ZINC000095618884,O97193,843.83
ZINC000100053185,Q27686,843.98
ZINC000100053191,Q27686,843.98
ZINC000036177510,Q27686,843.98
ZINC000004805034,Q27686,843.98
ZINC000100051348,Q4QBL1,8430.37
ZINC000000897103,Q4QBL1,8430.37
ZINC000000897095,Q4QBL1,8430.37
ZINC000000897102,Q4QBL1,8430.37
ZINC000060183177,P48499,84302.76
ZINC000006827695,Q4QHJ8,84304.71
ZINC000095618904,Q6TUJ5,84333.04
ZINC000095618906,Q6TUJ5,84333.04
ZINC000095618903,Q6TUJ5,84333.04
ZINC000095618905,Q6TUJ5,84333.04
ZINC000000895030,Q4QHJ8,8436.65
ZINC000261494657,Q6TUJ5,8436.84
ZINC000261494659,Q6TUJ5,8436.84
ZINC000261494656,Q6TUJ5,8436.84
ZINC000261494658,Q6TUJ5,8436.84
ZINC000030691574,P48499,84360.73
ZINC000022446966,P48499,84360.73
ZINC000030691579,P48499,84360.73
ZINC000030691571,P48499,84360.73
ZINC000000125047,P48499,84361.47
ZINC000013543111,Q4QBL1,8437.39
ZINC000019632917,P48499,8437.84
ZINC000006827595,Q4QHJ8,84377.12
ZINC000009133172,Q6TUJ5,84390.74
ZINC000000839083,Q6TUJ5,84390.74
ZINC000004098264,Q4QBL1,844.56
ZINC000030731084,Q6TUJ5,844.67
ZINC000004468780,Q4QHJ8,844.72
ZINC000000001695,Q4QBL1,84406.96
ZINC000001530808,P48499,8442.2
ZINC000085537017,Q27686,8443.41
ZINC000008101126,P48499,84445.06
ZINC000001530934,Q6TUJ5,8445.27
ZINC000003874604,O15826,8446.74
ZINC000003874606,O15826,8446.74
ZINC000003874605,O15826,8446.74
ZINC000008217338,Q27686,84478.35
ZINC000006845860,Q27686,84478.35
ZINC000012362725,P48499,8448.54
ZINC000000537957,Q6TUJ5,84495.6
ZINC000005320256,Q27686,84499.31
ZINC000000000188,Q27686,84499.31
ZINC000030690433,P48499,845.14
ZINC000410428646,Q4QHJ8,845.17
ZINC000410428645,Q4QHJ8,845.17
ZINC000033359785,Q27686,845.24
ZINC000095618777,Q4QBL1,845.39
ZINC000000004785,Q4QBL1,845.73
ZINC000000507462,Q4QHJ8,8450.66
ZINC000000507461,Q4QHJ8,8450.66
ZINC000000000843,P48499,84514.9
ZINC000006507052,P48499,84514.9
ZINC000001529732,Q27686,84533.74
ZINC000000154803,O15826,8456.1
ZINC000003875871,P48499,8456.66
ZINC000003875872,P48499,8456.66
ZINC000003875376,Q6TUJ5,84562.8
ZINC000003873778,Q6TUJ5,84572.92
ZINC000003873781,Q6TUJ5,84572.92
ZINC000019632618,O97193,8458.52
ZINC000095618830,Q4QBL1,846.05
ZINC000095618829,Q4QBL1,846.05
ZINC000000004166,O97193,846.57
ZINC000000896819,O97193,846.57
ZINC000003938681,Q6TUJ5,846.68
ZINC000100036827,Q6TUJ5,846.69
ZINC000100036834,Q6TUJ5,846.69
ZINC000100036823,Q6TUJ5,846.69
ZINC000013454202,Q6TUJ5,846.69
ZINC000100036830,Q6TUJ5,846.69
ZINC000019364219,Q6TUJ5,84603.66
ZINC000004743888,P48499,8463.26
ZINC000118915330,Q27686,8463.41
ZINC000118915332,Q27686,8463.41
ZINC000253611308,Q27686,8463.41
ZINC000253611310,Q27686,8463.41
ZINC000253611311,Q27686,8463.41
ZINC000118915331,Q27686,8463.41
ZINC000118915333,Q27686,8463.41
ZINC000253611314,Q27686,8463.41
ZINC000003830394,Q4QBL1,8463.73
ZINC000095618849,Q4QBL1,8464.74
ZINC000003831006,Q27686,84659.78
ZINC000095618588,O15826,8466.39
ZINC000261494636,O15826,8466.39
ZINC000100053680,O15826,8466.39
ZINC000261494637,O15826,8466.39
ZINC000095618587,O15826,8466.39
ZINC000100053678,O15826,8466.39
ZINC000039252793,Q6TUJ5,84664.99
ZINC000006117175,Q4QBL1,8467.61
ZINC000001542910,O97193,8468.11
ZINC000003938744,Q6TUJ5,8468.44
ZINC000000010163,O97193,847.17
ZINC000000010164,O97193,847.17
ZINC000261494566,Q27686,847.57
ZINC000003830417,O97193,847.62
ZINC000030731261,Q4QHJ8,8471.23
ZINC000002019996,Q4QBL1,8473.06
ZINC000001536931,Q4QBL1,8473.06
ZINC000001482154,Q27686,8474.52
ZINC000019796161,Q27686,8475.43
ZINC000022447798,O15826,8475.76
ZINC000000003837,O15826,8475.97
ZINC000000120234,P48499,84763.3
ZINC000000057731,Q4QHJ8,84785.64
ZINC000019796031,Q4QHJ8,848.23
ZINC000001530934,Q4QBL1,848.47
ZINC000000057260,Q4QHJ8,8480.87
ZINC000001530816,P48499,84802.03
ZINC000001530817,P48499,84802.03
ZINC000003644762,Q27686,84807.71
ZINC000001692966,Q27686,84807.71
ZINC000053084692,Q6TUJ5,8484.47
ZINC000100006770,Q6TUJ5,84845.71
ZINC000169362009,Q4QHJ8,8485.79
ZINC000006050663,Q4QHJ8,8485.96
ZINC000000001270,Q27686,84872.35
ZINC000003831490,Q4QHJ8,84874.5
ZINC000095618864,O97193,8488.34
ZINC000002379161,Q27686,8488.98
ZINC000003869576,Q27686,8488.98
ZINC000095617674,O97193,849.14
ZINC000004228266,O97193,849.3
ZINC000002572666,O97193,849.3
ZINC000004228267,O97193,849.3
ZINC000002005305,O97193,849.3
ZINC000003882036,Q6TUJ5,849.36
ZINC000053022902,Q4QHJ8,849.76
ZINC000052971887,Q4QHJ8,849.76
ZINC000000000271,P48499,8493.36
ZINC000000897291,P48499,8493.36
ZINC000000085733,O15826,8493.49
ZINC000000000061,O15826,8493.49
ZINC000002548959,Q6TUJ5,849338.33
ZINC000004095858,P48499,8494.52
ZINC000000006164,Q27686,8494.88
ZINC000095889730,P48499,84944.32
ZINC000253616932,P48499,84944.32
ZINC000253616931,P48499,84944.32
ZINC000036387179,P48499,84944.32
ZINC000003800008,Q4QHJ8,8497.05
ZINC000000001944,Q4QHJ8,849823.39
ZINC000003932194,Q4QBL1,85.17
ZINC000000000928,Q4QHJ8,85.23
ZINC000261494620,O15826,85.24
ZINC000003821234,Q4QBL1,85.26
ZINC000000005298,Q6TUJ5,85.27
ZINC000000015515,Q6TUJ5,85.27
ZINC000013907153,O97193,85.32
ZINC000003812925,O97193,85.32
ZINC000005761797,O15826,85.33
ZINC000000056654,O15826,85.44
ZINC000002041017,O15826,85.46
ZINC000001606505,O15826,85.46
ZINC000003830897,O15826,85.54
ZINC000004095934,O97193,85.69
ZINC000000000017,O97193,85.69
ZINC000004213057,O15826,85.7
ZINC000253633751,Q4QHJ8,85.83
ZINC000169621220,Q4QHJ8,85.83
ZINC000008220909,Q4QHJ8,85.83
ZINC000000001898,Q6TUJ5,85.86
ZINC000000004028,O97193,85.96
ZINC000000005151,O97193,85.96
ZINC000004217170,Q27686,850.37
ZINC000003830609,Q4QHJ8,850.81
ZINC000008437540,Q27686,850.82
ZINC000008552309,Q27686,850.82
ZINC000003830747,Q27686,850.85
ZINC000000020243,Q4QHJ8,850.89
ZINC000034636383,P48499,85002.54
ZINC000002014722,Q4QBL1,8501.7
ZINC000000002318,O15826,8501.76
ZINC000019855121,P48499,8504.3
ZINC000033902810,Q4QBL1,85046.51
ZINC000001577120,P48499,85052.39
ZINC000261494569,Q4QBL1,851.34
ZINC000261494581,Q4QBL1,851.34
ZINC000000538312,Q27686,851.42
ZINC000013540519,O15826,851.53
ZINC000005650070,O97193,851.81
ZINC000012410091,Q6TUJ5,8510.12
ZINC000000394355,O97193,85102.93
ZINC000000000615,O97193,85102.93
ZINC000000001099,Q6TUJ5,85105.92
ZINC000000000404,Q4QBL1,8511.45
ZINC000001678303,Q4QBL1,8511.45
ZINC000006091878,P48499,85142.09
ZINC000008214588,Q27686,8517.24
ZINC000003830273,Q27686,85171.17
ZINC000003830274,Q27686,85171.17
ZINC000150339412,Q6TUJ5,8518.3
ZINC000150339413,Q6TUJ5,8518.3
ZINC000008214407,Q6TUJ5,8518.3
ZINC000034220093,O97193,8519.46
ZINC000003831024,O97193,852.35
ZINC000003813087,O97193,852.35
ZINC000001529498,O15826,852.48
ZINC000004978673,O15826,852.48
ZINC000001530416,O15826,852.48
ZINC000001531036,O15826,852.48
ZINC000006072466,O15826,852.48
ZINC000247316127,O15826,8521.81
ZINC000043206370,Q6TUJ5,8522.88
ZINC000001554588,Q27686,8523.82
ZINC000000001590,Q4QBL1,852301.97
ZINC000000051581,P48499,85250.97
ZINC000003938751,P48499,8526.87
ZINC000004097286,P48499,8526.87
