,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000006117175,2.8533828741907254,3.9967821448826433,6.242696068941577,4.064435918674361,3.907336602569845,3.50125133081474,2.996158795736139
ZINC000006524885,5.452269763260689,6.812209072642327,9.803321445311818,5.702749088328011,5.35743484679326,4.652785104650976,5.635830145866643
ZINC000008214585,2.4915660670712616,2.453564444998908,5.111724760944931,1.474430763619982,0.5109735628897979,1.4041636442506382,2.5697869023085707
ZINC000008679996,1.8347973648365146,3.1829522641156283,6.143424906257578,2.9724480508968893,2.590551487563655,1.9267149409429878,1.9736584466311091
ZINC000084386263,0.6620891808844636,2.0474893790451842,5.2879280490383,3.348689617783212,2.671519093267842,1.9222717763591892,0.9569438532305662
ZINC000085552177,2.0037099498836333,1.3910962260389765,4.5424180793429985,3.3432890721060873,2.527587726987846,2.3088919769248526,1.9830599581205692
ZINC000089224316,2.801813502214197,3.5880528771389426,5.809128484397079,2.2482263235300555,2.3764700526491156,2.1997016962103784,2.766755888899955
ZINC000095618600,1.7226120813333048,3.2398387382268514,6.4077915732773825,3.5608422557280712,2.9501402065230624,2.0004792757313625,1.9604886870096574
ZINC000095618747,2.28792549398824,3.685294661600117,6.788665582896559,3.735763985029205,3.251255018660509,2.1514235089464346,2.309536704429394
ZINC000095618756,0.737396091367964,1.8373497513692543,5.021014553077692,3.0110695105609944,2.3574288817080498,1.7218067416557072,0.9253877035525298
ZINC000137375210,3.7275071126746933,3.318225057080736,3.2467888197529025,3.7167301422844994,3.8546133707356267,4.372638251365619,3.7771691244580756
ZINC000229983969,3.32789778360446,3.83925903920352,6.911176649763669,5.585924426658506,4.81543150454154,3.8305630034121294,3.239877352186496
ZINC000229984054,3.3759360443743054,3.952372279110999,7.098589812767854,5.65535726020551,4.856654209219622,3.828506020219965,3.3070899165255767
ZINC000230122748,3.432792838853289,3.859261539734368,6.850835341094022,5.6441927034697335,4.883298928625353,3.94137257440301,3.338260953511883
ZINC000230123065,3.3351562813410918,3.7560544977483077,6.701217001705688,5.545179058075298,4.805082355976397,3.8806034466403383,3.233447593546983
ZINC000012503063,6.770041932261579,7.498843658989525,9.55844873423222,6.150684849581719,5.934889273803578,5.94781447681627,7.022708002946892
ZINC000033955641,5.160468598916884,5.198131039754014,6.7674590048769145,3.9341297820155106,3.84890046539449,4.5220087822358925,5.3596250591049515
ZINC000019230121,6.089388931349843,6.392774608613068,7.864491453981995,5.019887324513671,5.032296877269763,5.514413725834209,6.302915423707084
ZINC000021302830,4.47495591451228,5.793238486332234,8.55046826475137,4.4444890997276385,4.238896977191155,3.653362339808874,4.637841593692222
ZINC000021981258,4.2840995350784,4.799600333371536,7.115770919151906,4.859617503111983,4.4376192906542204,4.40379444687709,4.528245010530226
ZINC000022056306,3.8484910368484035,3.335940558084716,3.9961852053978144,3.954307065552883,3.7942534723544195,4.37680480256492,4.013586255306098
ZINC000261494695,9.338396719466614,9.196766371009407,10.181921099518467,6.3863710271337215,6.880145031034491,7.8571923640965515,9.39316338137455
ZINC000085552699,2.6766224032576384,0.9652926287518986,3.2446466685333015,3.951747355357669,3.337089121998936,3.534245006280299,2.668245200705325
ZINC000013829478,2.3628841433769954,3.4909890514280333,5.77872020631299,3.3855452296027213,3.2414624552951694,2.8538209871374356,2.4848984040104014
ZINC000261494617,0.7646650782430204,2.1851521770424833,5.576963236661441,3.1816239496081873,2.422617494325614,1.5220968302929012,1.0258874460680016
ZINC000261494639,2.7745264621399666,4.0679605149981,6.785791388039734,3.669155078420353,3.385971830684766,2.842366002974661,2.953227829600313
ZINC000261494708,2.723705458733962,4.482898422626139,7.547009138222146,4.778352519451807,4.356460307156433,3.23700850103428,2.8227904161921984
ZINC000261494668,1.8723357131311764,3.3694894229236234,6.7528260603164565,3.740047433562397,3.043446022386708,2.0129083873379083,2.097118374202318
ZINC000261494674,2.287293219823508,2.1991401504622416,5.046453091899214,3.6612891762464934,2.8304819962360903,2.7852540887636477,2.5670315054192083
