,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000038358483,355.24690270795463,531.1308316814874,486.98212678564784,214.28853671843856,339.8238772893082,362.71275365239484,361.92386202775015
ZINC000005973821,549.6599315422212,725.7107707819185,681.7120998108503,408.6860352242756,534.3359642875574,557.0690681256438,556.5470622808623
ZINC000271776434,34.41037646267153,155.86532427363176,110.44250300911253,164.28549804572063,43.28113658632449,32.378437276255326,22.543937050748237
ZINC000013984697,81.55226144259525,256.31902461675054,212.0275415767443,62.29288241647835,65.83739952317794,89.24416855404384,87.18270214352216
ZINC000038343653,596.4793671889888,772.5005115714383,728.4189174922062,455.5005513763168,581.1385509881258,603.8988476013012,603.3171056923239
ZINC000072190127,277.15957400897474,453.0874160458827,409.07652066800813,136.1902713456813,261.7493301183826,284.6207853741716,283.8996727382828
ZINC000034851244,229.7114108877267,405.89234183808094,362.38600557533005,88.94010567580423,214.53434757194768,237.0813017397991,236.92917469015583
ZINC000205775084,442.1068966997459,618.3185347466683,574.7485066058753,301.3554686118383,426.9738995077895,449.4453219177654,449.34933138788216
ZINC000207018468,410.0211764891076,586.0506574898775,542.090858851718,269.03694282974124,394.67842753541186,417.44085379473705,416.8896964264833
ZINC000096077632,552.6567273940274,376.44974317126605,420.1315654263802,693.3356412788847,567.7119813340958,545.40036595418,545.3397397340539
ZINC000096941868,392.1357421625244,215.99293120846127,259.5556262881662,532.7616842988189,407.1552457095387,384.9098888068365,384.75948932162885
ZINC000000001794,596.4282226441021,772.5708261703057,728.7215862688677,455.51859282825427,581.1857316744891,603.805425919397,603.4633379490226
ZINC000036379005,285.8943074251027,461.6704656338241,417.47355636778894,145.02546553915906,270.4156277064571,293.3890116429562,292.4580884957393
ZINC000006093612,551.8628964881786,728.0237108149324,684.2521069118538,410.9777623798162,536.6411406205432,559.2295671777085,558.9472742214074
ZINC000095627831,240.77241467226517,416.99191236208384,373.57144266457243,100.20231970381359,225.68314629721078,248.1177444563011,248.10663781895616
ZINC000142159149,403.21702026925186,579.2697187750338,535.3392931839982,262.2400167792785,387.8925102314722,410.6319135169008,410.1186470171
ZINC000143812640,534.7148857522542,710.7056360842049,666.5886612071073,393.7358738655013,519.3571308691421,542.1464228847932,541.5113533563263
ZINC000000003857,539.9435961934475,716.0742611656486,672.2742195985244,399.02436099825707,524.6878805690089,547.317373589772,546.9845479168425
ZINC000034600373,385.5768621756829,561.7200451037737,517.9609080299014,244.67180316453363,370.3371898870046,392.9608552869366,392.63602054019515
ZINC000206178236,296.0957828495295,472.0377426281032,428.0306209010182,155.11611232968235,280.6937498121784,303.55017618183376,302.8530018188004
ZINC000100015416,551.0341433763532,727.1595105203858,683.3275843799544,410.1072839414623,535.7727568485318,558.4126221364013,558.0573539439252
ZINC000003934559,46.639187487003824,217.2994664785977,172.46030656019596,102.72588901648082,32.281305152952804,54.198850672495624,49.649373077817465
ZINC000003942646,223.91852973291302,399.9932258353753,356.24918448895374,82.95213628447847,208.6117676722072,231.34448379324473,230.88973950257693
ZINC000003953156,466.69906737728246,642.8492580631287,599.0033908916388,325.8271096840425,451.4816323863377,474.0868232765894,473.74443958934586
ZINC000004214587,361.18633231205075,536.9732776533315,492.7213437879463,220.26605023125705,345.71824698923615,368.67026769711936,367.7612467403654
ZINC000005887619,417.84762928404734,593.6671019007443,549.3953162646237,276.9090588414981,402.4025426443688,425.32347763881563,424.4525323535346
ZINC000006094098,421.9671284099875,598.1891924282377,554.7496890131785,281.31314700811964,406.8798128009711,429.28210979862905,429.30327015228545
ZINC000006718881,279.57757708913243,455.6725143905425,411.95796870506007,138.62330558280243,264.2853674819932,286.9772949320993,286.5929989691366
