+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
| 412  | ZINC000072693284 |    P48499   |     280.92    |
| 413  | ZINC000053683271 |    P48499   |     280.92    |
| 414  | ZINC000054053579 |    P48499   |     280.92    |
| 415  | ZINC000261527196 |    P48499   |     280.92    |
| 416  | ZINC000003917540 |    P48499   |     280.92    |
| 417  | ZINC000242723018 |    P48499   |     281.52    |
| 418  | ZINC000242723020 |    P48499   |     281.52    |
| 419  | ZINC000072266812 |    P48499   |     283.07    |
| 420  | ZINC000004212177 |    P48499   |     283.07    |
| 421  | ZINC000003977981 |    P48499   |     284.70    |
| 422  | ZINC000000537802 |    P48499   |     285.72    |
| 423  | ZINC000100037135 |    P48499   |     286.58    |
| 424  | ZINC000100037132 |    P48499   |     286.58    |
| 425  | ZINC000064622553 |    P48499   |     286.58    |
| 426  | ZINC000064622550 |    P48499   |     286.58    |
| 427  | ZINC000072481725 |    P48499   |     286.58    |
| 428  | ZINC000201075230 |    P48499   |     286.58    |
| 429  | ZINC000201075193 |    P48499   |     286.58    |
| 430  | ZINC000081139092 |    P48499   |     286.58    |
| 431  | ZINC000005934430 |    P48499   |     286.58    |
| 432  | ZINC000005934432 |    P48499   |     286.58    |
| 433  | ZINC000005934232 |    P48499   |     286.58    |
| 434  | ZINC000002572599 |    P48499   |     286.58    |
| 435  | ZINC000000119403 |    P48499   |     289.95    |
| 436  | ZINC000100743496 |    P48499   |     291.54    |
| 437  | ZINC000100229736 |    P48499   |     291.54    |
| 438  | ZINC000100037020 |    P48499   |     291.54    |
| 439  | ZINC000013537284 |    P48499   |     293.73    |
| 440  | ZINC000261494612 |    P48499   |     293.80    |
| 441  | ZINC000009212654 |    P48499   |     294.88    |
| 442  | ZINC000033943508 |    P48499   |     294.88    |
| 443  | ZINC000012484958 |    P48499   |     294.88    |
| 444  | ZINC000009302201 |    P48499   |     294.88    |
| 445  | ZINC000003792789 |    P48499   |     294.88    |
| 446  | ZINC000012661824 |    P48499   |     294.88    |
| 447  | ZINC000005456939 |    P48499   |     294.88    |
| 448  | ZINC000012358651 |    P48499   |     294.88    |
| 449  | ZINC000036766734 |    P48499   |     294.88    |
| 450  | ZINC000096014710 |    P48499   |     294.88    |
| 451  | ZINC000033995986 |    P48499   |     294.88    |
| 452  | ZINC000053683694 |    P48499   |     297.18    |
| 453  | ZINC000053683690 |    P48499   |     297.18    |
| 454  | ZINC000004217459 |    P48499   |     297.23    |
| 455  | ZINC000000000023 |    P48499   |     297.57    |
| 456  | ZINC000000086599 |    P48499   |     297.57    |
| 457  | ZINC000000057435 |    P48499   |     299.52    |
| 458  | ZINC000100051487 |    P48499   |     300.51    |
| 459  | ZINC000006067254 |    P48499   |     300.51    |
| 460  | ZINC000256009345 |    P48499   |     300.51    |
| 461  | ZINC000256009346 |    P48499   |     300.51    |
| 462  | ZINC000100051482 |    P48499   |     300.51    |
| 463  | ZINC000006032030 |    P48499   |     300.51    |
| 464  | ZINC000118912393 |    P48499   |     300.86    |
| 465  | ZINC000003874857 |    P48499   |     303.09    |
| 466  | ZINC000212549525 |    P48499   |     304.88    |
| 467  | ZINC000212549609 |    P48499   |     304.88    |
| 468  | ZINC000005065160 |    P48499   |     304.88    |
| 469  | ZINC000005065159 |    P48499   |     304.88    |
| 470  | ZINC000100037710 |    P48499   |     304.88    |
| 471  | ZINC000100037714 |    P48499   |     304.88    |
| 472  | ZINC000060325170 |    P48499   |     305.27    |
| 473  | ZINC000003581056 |    P48499   |     306.24    |
| 474  | ZINC000005497532 |    P48499   |     308.38    |
| 475  | ZINC000100017742 |    P48499   |     309.15    |
| 476  | ZINC000100017736 |    P48499   |     309.15    |
| 477  | ZINC000003995861 |    P48499   |     309.15    |
| 478  | ZINC000031771386 |    P48499   |     309.15    |
| 479  | ZINC000005850903 |    P48499   |     312.42    |
| 480  | ZINC000031996245 |    P48499   |     312.42    |
| 481  | ZINC000095617657 |    P48499   |     313.05    |
| 482  | ZINC000095617660 |    P48499   |     313.05    |
| 483  | ZINC000095617659 |    P48499   |     313.05    |
| 484  | ZINC000095617658 |    P48499   |     313.05    |
| 485  | ZINC000003881635 |    P48499   |     313.18    |
| 486  | ZINC000001656905 |    P48499   |     321.72    |
| 487  | ZINC000001656906 |    P48499   |     321.72    |
| 488  | ZINC000100054840 |    P48499   |     321.72    |
| 489  | ZINC000004474414 |    P48499   |     323.53    |
| 490  | ZINC000012484919 |    P48499   |     323.53    |
| 491  | ZINC000012484926 |    P48499   |     323.53    |
| 492  | ZINC000000598829 |    P48499   |     324.16    |
| 493  | ZINC000095564694 |    P48499   |     324.21    |
