+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
| 382  | ZINC000067665085 |    Q4QBL1   |     53.02     |
| 383  | ZINC000006845076 |    Q4QBL1   |     53.34     |
| 384  | ZINC000000000440 |    Q4QBL1   |     53.89     |
| 385  | ZINC000000896621 |    Q4QBL1   |     53.89     |
| 386  | ZINC000037866091 |    Q4QBL1   |     54.29     |
| 387  | ZINC000072266812 |    Q4QBL1   |     54.41     |
| 388  | ZINC000004212177 |    Q4QBL1   |     54.41     |
| 389  | ZINC000001849477 |    Q4QBL1   |     55.11     |
| 390  | ZINC000000902197 |    Q4QBL1   |     55.37     |
| 391  | ZINC000001530689 |    Q4QBL1   |     55.37     |
| 392  | ZINC000003985982 |    Q4QBL1   |     56.04     |
| 393  | ZINC000118912516 |    Q4QBL1   |     56.04     |
| 394  | ZINC000245204943 |    Q4QBL1   |     56.04     |
| 395  | ZINC000011616036 |    Q4QBL1   |     56.04     |
| 396  | ZINC000068249103 |    Q4QBL1   |     56.29     |
| 397  | ZINC000005138343 |    Q4QBL1   |     56.32     |
| 398  | ZINC000005138341 |    Q4QBL1   |     56.32     |
| 399  | ZINC000000598829 |    Q4QBL1   |     56.78     |
| 400  | ZINC000095618748 |    Q4QBL1   |     57.05     |
| 401  | ZINC000095618749 |    Q4QBL1   |     57.05     |
| 402  | ZINC000208774715 |    Q4QBL1   |     61.16     |
| 403  | ZINC000072693284 |    Q4QBL1   |     61.34     |
| 404  | ZINC000053683271 |    Q4QBL1   |     61.34     |
| 405  | ZINC000054053579 |    Q4QBL1   |     61.34     |
| 406  | ZINC000261527196 |    Q4QBL1   |     61.34     |
| 407  | ZINC000003917540 |    Q4QBL1   |     61.34     |
| 408  | ZINC000008214681 |    Q4QBL1   |     61.93     |
| 409  | ZINC000053683694 |    Q4QBL1   |     61.98     |
| 410  | ZINC000053683690 |    Q4QBL1   |     61.98     |
| 411  | ZINC000004213474 |    Q4QBL1   |     62.17     |
| 412  | ZINC000095617657 |    Q4QBL1   |     62.22     |
| 413  | ZINC000095617660 |    Q4QBL1   |     62.22     |
| 414  | ZINC000095617659 |    Q4QBL1   |     62.22     |
| 415  | ZINC000095617658 |    Q4QBL1   |     62.22     |
| 416  | ZINC000005934430 |    Q4QBL1   |     62.55     |
| 417  | ZINC000005934432 |    Q4QBL1   |     62.55     |
| 418  | ZINC000005934232 |    Q4QBL1   |     62.55     |
| 419  | ZINC000002572599 |    Q4QBL1   |     62.55     |
| 420  | ZINC000003977981 |    Q4QBL1   |     62.73     |
| 421  | ZINC000000000023 |    Q4QBL1   |     62.79     |
| 422  | ZINC000000086599 |    Q4QBL1   |     62.79     |
| 423  | ZINC000261494684 |    Q4QBL1   |     63.77     |
| 424  | ZINC000033587910 |    Q4QBL1   |     63.77     |
| 425  | ZINC000044020714 |    Q4QBL1   |     63.77     |
| 426  | ZINC000033963989 |    Q4QBL1   |     63.77     |
| 427  | ZINC000031622970 |    Q4QBL1   |     63.77     |
| 428  | ZINC000031622969 |    Q4QBL1   |     63.77     |
| 429  | ZINC000256296835 |    Q4QBL1   |     63.84     |
| 430  | ZINC000031544156 |    Q4QBL1   |     63.84     |
| 431  | ZINC000118915222 |    Q4QBL1   |     63.84     |
